Câu hỏi,Qwen X,Qwen Y,Qwen Z,Qwen W,Llama X,Llama Y,Llama Z,Llama W,Phi X,Phi Y,Phi Z,Phi W,Nhóm
Trí tuệ nhân tạo là gì?,16.32,14.16,4.5,4.5,16.72,15.37,4.5,5,22.45,11.45,2,2,A
Sự khác nhau giữa machine learning và deep learning là gì?,14.25,13.19,4.5,4.5,16.52,15.55,5,5,20.45,12.52,2,2,A
LLM là viết tắt của từ gì và dùng để làm gì?,11.71,13.67,4.5,4.5,18.84,13.22,5,5,21.11,12.17,1.5,2,A
Transformer gồm những thành phần chính nào?,17.71,14.01,4,4.5,17.42,14.75,5,5,20.62,12.46,2,2,A
Fine-tuning mô hình là gì?,13.45,14.2,4.5,4.5,18.12,14.18,4.5,5,20.56,12.45,2,2,A
Embedding vector được sử dụng trong bài toán nào?,4.49,14.92,4.5,4.5,13.85,14.66,5,5,20.78,12.37,2,2,A
Giải thích cơ chế attention trong Transformer cho người mới học.,17.34,14.76,4.5,4.5,17.59,14.61,4.5,5,20.8,12.31,2,2,B
Vì sao LLM có thể sinh ra câu trả lời trông giống con người?,14.56,15.72,4.5,4.5,21.9,11.74,5,5,22.22,11.52,2,2,B
Sự khác nhau giữa prompt engineering và fine-tuning?,17.8,14.38,4.5,4.5,21.89,11.74,5,5,21.32,12.05,2,2,B
Hallucination trong LLM là gì?,8.3,14.81,4.5,4.5,17.9,14.36,4.5,5,20.76,12.33,2,2,B
Vì sao cần tokenizer trong mô hình ngôn ngữ?,16.82,15.22,4.5,4.5,17.68,14.48,5,5,21.74,11.82,2,2,B
Context window ảnh hưởng thế nào đến chất lượng trả lời?,16.81,15.23,4.5,4.5,13.93,14.64,5,5,21.19,12.13,2,2,B
"Vì sao mô hình lớn thường cho kết quả tốt hơn mô hình nhỏ, nhưng không phải lúc nào cũng phù hợp để triển khai?",13.02,14.52,4.5,4.5,17.81,14.43,5,5,22.61,11.37,2,2,C
"Nếu dữ liệu huấn luyện có nhiều nhiễu, mô hình sẽ bị ảnh hưởng như thế nào?",17.5,14.63,4.5,4.5,17.88,14.37,5,5,22.74,11.3,2,2,C
Vì sao RAG có thể giúp giảm hallucination?,12.28,15.07,4.5,4.5,17.9,14.36,5,5,21.57,11.91,2,2,C
"Một chatbot trả lời nhanh nhưng hay sai và một chatbot trả lời chậm nhưng chính xác, nên chọn cái nào cho hệ thống sinh viên?",14.05,14.81,4.5,4.5,18.19,14.13,5,5,22.37,11.53,2,2,C
Vì sao tăng temperature có thể làm câu trả lời sáng tạo hơn nhưng kém ổn định?,16.06,15.13,4.5,4.5,18.13,14.18,5,5,22.37,11.49,2,2,C
"Nếu context window quá ngắn, điều gì sẽ xảy ra?",16.37,14.42,4.5,4.5,14.88,13.85,5,5,21.85,11.76,2,2,C
Hãy liệt kê các bước xây dựng một chatbot hỏi đáp tài liệu PDF.,16.41,15.6,4.5,4.5,17.9,14.36,5,5,21.5,12,2,2,D
Hãy mô tả quy trình đánh giá một mô hình LLM trước khi triển khai.,16.5,15.51,4.5,4.5,17.93,14.33,5,5,21.33,12.09,2,2,D
Nêu các bước triển khai LLM trên server CPU.,16.32,15.69,4.5,4.5,17.84,14.4,5,5,21.2,12.12,2,2,D
Hãy hướng dẫn cách ghi log phản hồi của chatbot.,16.59,15.43,4.5,4.5,17.78,14.45,5,5,22.11,11.67,2,2,D
Trình bày cách so sánh hai mô hình LLM trong báo cáo.,16.56,15.46,4.5,4.5,18.53,13.87,5,5,21.21,12.16,2,2,D
Hãy đề xuất tiêu chí chọn LLM cho hệ thống giáo dục.,16.23,15.77,4.5,4.5,17.42,14.76,5,5,21.14,12.2,2,2,D
Mô hình này có tốt không?,4.45,15.29,4.5,4.5,16.23,14.97,5,5,20.63,12.5,2,2,E
Hệ thống của tôi nên dùng cách nào?,3.71,14.81,4.5,4.5,16.94,15.17,5,5,22.23,11.61,2,2,E
Câu trả lời này có ổn chưa?,2.82,14.56,4.5,4.5,3.13,13.09,5,5,23.26,11.05,2,2,E
Làm vậy có đúng không?,3.4,15,4.5,4.5,9.28,15.41,5,5,21.31,12.06,2,2,E
Dữ liệu nội bộ của mô hình này gồm những gì?,10.72,15.77,4.5,4.5,18.66,13.77,4.5,5,21.74,11.82,2,2,F
Hãy cho biết điểm thi của sinh viên Nguyễn Văn A.,4.44,14.86,5,5,11.88,13.81,5,5,21.91,11.77,2.5,2.F,F
Dự đoán chính xác kết quả kỳ thi sắp tới.,4.87,15.2,4.5,4.5,18.64,13.79,5,5,21.37,12.12,2,2,F
